 [0, 0]  0, 0, TileType.START  
             [4, 25]  4, 25, TileType.ROCK  
             [4, 26]  4, 26, TileType.GRASS  
             [4, 27]  4, 27, TileType.GRASS  
             [4, 28]  4, 28, TileType.GRASS  
             [4, 29]  4, 29, TileType.GRASS  

            // X = 5
             [5, 0]  5, 0, TileType.ROCK  
             [5, 1]  5, 1, TileType.ROCK  
             [5, 2]  5, 2, TileType.GRASS  
             [5, 3]  5, 3, TileType.GRASS  
             [5, 4]  5, 4, TileType.GRASS  
             [5, 5]  5, 5, TileType.ROCK  
             [5, 6]  5, 6, TileType.ROCK  
             [5, 7]  5, 7, TileType.GRASS  
             [5, 8]  5, 8, TileType.GRASS  
             [5, 9]  5, 9, TileType.GRASS  
             [5, 10]  5, 10, TileType.GRASS  
             [5, 11]  5, 11, TileType.GRASS  
             [5, 12]  5, 12, TileType.ROCK  
             [5, 13]  5, 13, TileType.ROCK  
             [5, 14]  5, 14, TileType.ROCK  
             [5, 15]  5, 15, TileType.GRASS  
             [5, 16]  5, 16, TileType.GRASS  
             [5, 17]  5, 17, TileType.GRASS  
             [5, 18]  5, 18, TileType.GRASS  
             [5, 19]  5, 19, TileType.GRASS  
             [5, 20]  5, 20, TileType.GRASS  
             [5, 21]  5, 21, TileType.GRASS  
             [5, 22]  5, 22, TileType.ROCK  
             [5, 23]  5, 23, TileType.ROCK  
             [5, 24]  5, 24, TileType.ROCK  
             [5, 25]  5, 25, TileType.ROCK  
             [5, 26]  5, 26, TileType.ROCK  
             [5, 27]  5, 27, TileType.GRASS  
             [5, 28]  5, 28, TileType.GRASS  
             [5, 29]  5, 29, TileType.GRASS  

            // X = 6
             [6, 0]  6, 0, TileType.ROCK  
             [6, 1]  6, 1, TileType.ROCK  
             [6, 2]  6, 2, TileType.GRASS  
             [6, 3]  6, 3, TileType.GRASS  
             [6, 4]  6, 4, TileType.ROCK  
             [6, 5]  6, 5, TileType.ROCK  
             [6, 6]  6, 6, TileType.ROCK  
             [6, 7]  6, 7, TileType.GRASS  
             [6, 8]  6, 8, TileType.GRASS  
             [6, 9]  6, 9, TileType.GRASS  
             [6, 10]  6, 10, TileType.GRASS  
             [6, 11]  6, 11, TileType.GRASS  
             [6, 12]  6, 12, TileType.GRASS  
             [6, 13]  6, 13, TileType.ROCK  
             [6, 14]  6, 14, TileType.ROCK  
             [6, 15]  6, 15, TileType.ROCK  
             [6, 16]  6, 16, TileType.GRASS  
             [6, 17]  6, 17, TileType.GRASS  
             [6, 18]  6, 18, TileType.GRASS  
             [6, 19]  6, 19, TileType.GRASS  
             [6, 20]  6, 20, TileType.GRASS  
             [6, 21]  6, 21, TileType.GRASS  
             [6, 22]  6, 22, TileType.ROCK  
             [6, 23]  6, 23, TileType.ROCK  
             [6, 24]  6, 24, TileType.ROCK  
             [6, 25]  6, 25, TileType.ROCK  
             [6, 26]  6, 26, TileType.ROCK  
             [6, 27]  6, 27, TileType.GRASS  
             [6, 28]  6, 28, TileType.GRASS  
             [6, 29]  6, 29, TileType.GRASS  

            // X = 7
             [7, 0]  7, 0, TileType.GRASS  
             [7, 1]  7, 1, TileType.GRASS  
             [7, 2]  7, 2, TileType.GRASS  
             [7, 3]  7, 3, TileType.ROCK  
             [7, 4]  7, 4, TileType.ROCK  
             [7, 5]  7, 5, TileType.ROCK  
             [7, 6]  7, 6, TileType.GRASS  
             [7, 7]  7, 7, TileType.GRASS  
             [7, 8]  7, 8, TileType.GRASS  
             [7, 9]  7, 9, TileType.GRASS  
             [7, 10]  7, 10, TileType.GRASS  
             [7, 11]  7, 11, TileType.GRASS  
             [7, 12]  7, 12, TileType.GRASS  
             [7, 13]  7, 13, TileType.GRASS  
             [7, 14]  7, 14, TileType.GRASS  
             [7, 15]  7, 15, TileType.GRASS  
             [7, 16]  7, 16, TileType.GRASS  
             [7, 17]  7, 17, TileType.GRASS  
             [7, 18]  7, 18, TileType.GRASS  
             [7, 19]  7, 19, TileType.GRASS  
             [7, 20]  7, 20, TileType.GRASS  
             [7, 21]  7, 21, TileType.ROCK  
             [7, 22]  7, 22, TileType.WATER  
             [7, 23]  7, 23, TileType.WATER  
             [7, 24]  7, 24, TileType.WATER  
             [7, 25]  7, 25, TileType.ROCK  
             [7, 26]  7, 26, TileType.ROCK  
             [7, 27]  7, 27, TileType.ROCK  
             [7, 28]  7, 28, TileType.GRASS  
             [7, 29]  7, 29, TileType.GRASS  

            // X = 8
             [8, 0]  8, 0, TileType.GRASS  
             [8, 1]  8, 1, TileType.GRASS  
             [8, 2]  8, 2, TileType.GRASS  
             [8, 3]  8, 3, TileType.ROCK  
             [8, 4]  8, 4, TileType.ROCK  
             [8, 5]  8, 5, TileType.ROCK  
             [8, 6]  8, 6, TileType.GRASS  
             [8, 7]  8, 7, TileType.GRASS  
             [8, 8]  8, 8, TileType.GRASS  
             [8, 9]  8, 9, TileType.GRASS  
             [8, 10]  8, 10, TileType.GRASS  
             [8, 11]  8, 11, TileType.GRASS  
             [8, 12]  8, 12, TileType.GRASS  
             [8, 13]  8, 13, TileType.GRASS  
             [8, 14]  8, 14, TileType.GRASS  
             [8, 15]  8, 15, TileType.GRASS  
             [8, 16]  8, 16, TileType.GRASS  
             [8, 17]  8, 17, TileType.GRASS  
             [8, 18]  8, 18, TileType.GRASS  
             [8, 19]  8, 19, TileType.GRASS  
             [8, 20]  8, 20, TileType.GRASS  
             [8, 21]  8, 21, TileType.GRASS  
             [8, 22]  8, 22, TileType.GRASS  
             [8, 23]  8, 23, TileType.WATER  
             [8, 24]  8, 24, TileType.WATER  
             [8, 25]  8, 25, TileType.WATER  
             [8, 26]  8, 26, TileType.ROCK  
             [8, 27]  8, 27, TileType.ROCK  
             [8, 28]  8, 28, TileType.ROCK  
             [8, 29]  8, 29, TileType.GRASS  

            // X = 9
             [9, 0]  9, 0, TileType.GRASS  
             [9, 1]  9, 1, TileType.GRASS  
             [9, 2]  9, 2, TileType.GRASS  
             [9, 3]  9, 3, TileType.ROCK  
             [9, 4]  9, 4, TileType.ROCK  
             [9, 5]  9, 5, TileType.GRASS  
             [9, 6]  9, 6, TileType.GRASS  
             [9, 7]  9, 7, TileType.GRASS  
             [9, 8]  9, 8, TileType.GRASS  
             [9, 9]  9, 9, TileType.GRASS  
             [9, 10]  9, 10, TileType.WATER  
             [9, 11]  9, 11, TileType.WATER  
             [9, 12]  9, 12, TileType.WATER  
             [9, 13]  9, 13, TileType.WATER  
             [9, 14]  9, 14, TileType.GRASS  
             [9, 15]  9, 15, TileType.GRASS  
             [9, 16]  9, 16, TileType.GRASS  
             [9, 17]  9, 17, TileType.GRASS  
             [9, 18]  9, 18, TileType.ROCK  
             [9, 19]  9, 19, TileType.ROCK  
             [9, 20]  9, 20, TileType.GRASS  
             [9, 21]  9, 21, TileType.GRASS  
             [9, 22]  9, 22, TileType.GRASS  
             [9, 23]  9, 23, TileType.GRASS  
             [9, 24]  9, 24, TileType.WATER  
             [9, 25]  9, 25, TileType.WATER  
             [9, 26]  9, 26, TileType.WATER  
             [9, 27]  9, 27, TileType.ROCK  
             [9, 28]  9, 28, TileType.ROCK  
             [9, 29]  9, 29, TileType.GRASS  

            // X = 10
             [10, 0]  10, 0, TileType.GRASS  
             [10, 1]  10, 1, TileType.GRASS  
             [10, 2]  10, 2, TileType.ROCK  
             [10, 3]  10, 3, TileType.ROCK  
             [10, 4]  10, 4, TileType.GRASS  
             [10, 5]  10, 5, TileType.GRASS  
             [10, 6]  10, 6, TileType.GRASS  
             [10, 7]  10, 7, TileType.GRASS  
             [10, 8]  10, 8, TileType.GRASS  
             [10, 9]  10, 9, TileType.GRASS  
             [10, 10]  10, 10, TileType.WATER  
             [10, 11]  10, 11, TileType.WATER  
             [10, 12]  10, 12, TileType.WATER  
             [10, 13]  10, 13, TileType.WATER  
             [10, 14]  10, 14, TileType.WATER  
             [10, 15]  10, 15, TileType.ROCK  
             [10, 16]  10, 16, TileType.ROCK  
             [10, 17]  10, 17, TileType.ROCK  
             [10, 18]  10, 18, TileType.ROCK  
             [10, 19]  10, 19, TileType.ROCK  
             [10, 20]  10, 20, TileType.GRASS  
             [10, 21]  10, 21, TileType.GRASS  
             [10, 22]  10, 22, TileType.GRASS  
             [10, 23]  10, 23, TileType.GRASS  
             [10, 24]  10, 24, TileType.WATER  
             [10, 25]  10, 25, TileType.WATER  
             [10, 26]  10, 26, TileType.WATER  
             [10, 27]  10, 27, TileType.ROCK  
             [10, 28]  10, 28, TileType.ROCK  
             [10, 29]  10, 29, TileType.ROCK  

            // X = 11
             [11, 0]  11, 0, TileType.GRASS  
             [11, 1]  11, 1, TileType.GRASS  
             [11, 2]  11, 2, TileType.GRASS  
             [11, 3]  11, 3, TileType.GRASS  
             [11, 4]  11, 4, TileType.GRASS  
             [11, 5]  11, 5, TileType.GRASS  
             [11, 6]  11, 6, TileType.GRASS  
             [11, 7]  11, 7, TileType.GRASS  
             [11, 8]  11, 8, TileType.GRASS  
             [11, 9]  11, 9, TileType.WATER  
             [11, 10]  11, 10, TileType.WATER  
             [11, 11]  11, 11, TileType.WATER  
             [11, 12]  11, 12, TileType.WATER  
             [11, 13]  11, 13, TileType.WATER  
             [11, 14]  11, 14, TileType.WATER  
             [11, 15]  11, 15, TileType.WATER  
             [11, 16]  11, 16, TileType.ROCK  
             [11, 17]  11, 17, TileType.ROCK  
             [11, 18]  11, 18, TileType.ROCK  
             [11, 19]  11, 19, TileType.ROCK  
             [11, 20]  11, 20, TileType.GRASS  
             [11, 21]  11, 21, TileType.GRASS  
             [11, 22]  11, 22, TileType.GRASS  
             [11, 23]  11, 23, TileType.WATER  
             [11, 24]  11, 24, TileType.WATER  
             [11, 25]  11, 25, TileType.WATER  
             [11, 26]  11, 26, TileType.WATER  
             [11, 27]  11, 27, TileType.WATER  
             [11, 28]  11, 28, TileType.ROCK  
             [11, 29]  11, 29, TileType.ROCK  

            // X = 12
             [12, 0]  12, 0, TileType.GRASS  
             [12, 1]  12, 1, TileType.GRASS  
             [12, 2]  12, 2, TileType.GRASS  
             [12, 3]  12, 3, TileType.GRASS  
             [12, 4]  12, 4, TileType.GRASS  
             [12, 5]  12, 5, TileType.GRASS  
             [12, 6]  12, 6, TileType.GRASS  
             [12, 7]  12, 7, TileType.GRASS  
             [12, 8]  12, 8, TileType.WATER  
             [12, 9]  12, 9, TileType.WATER  
             [12, 10]  12, 10, TileType.WATER  
             [12, 11]  12, 11, TileType.WATER  
             [12, 12]  12, 12, TileType.WATER  
             [12, 13]  12, 13, TileType.WATER  
             [12, 14]  12, 14, TileType.WATER  
             [12, 15]  12, 15, TileType.WATER  
             [12, 16]  12, 16, TileType.WATER  
             [12, 17]  12, 17, TileType.ROCK  
             [12, 18]  12, 18, TileType.ROCK  
             [12, 19]  12, 19, TileType.GRASS  
             [12, 20]  12, 20, TileType.GRASS  
             [12, 21]  12, 21, TileType.GRASS  
             [12, 22]  12, 22, TileType.WATER  
             [12, 23]  12, 23, TileType.WATER  
             [12, 24]  12, 24, TileType.WATER  
             [12, 25]  12, 25, TileType.WATER  
             [12, 26]  12, 26, TileType.WATER  
             [12, 27]  12, 27, TileType.WATER  
             [12, 28]  12, 28, TileType.ROCK  
             [12, 29]  12, 29, TileType.ROCK  

            // X = 13
             [13, 0]  13, 0, TileType.GRASS  
             [13, 1]  13, 1, TileType.GRASS  
             [13, 2]  13, 2, TileType.GRASS  
             [13, 3]  13, 3, TileType.GRASS  
             [13, 4]  13, 4, TileType.GRASS  
             [13, 5]  13, 5, TileType.GRASS  
             [13, 6]  13, 6, TileType.GRASS  
             [13, 7]  13, 7, TileType.WATER  
             [13, 8]  13, 8, TileType.WATER  
             [13, 9]  13, 9, TileType.WATER  
             [13, 10]  13, 10, TileType.WATER  
             [13, 11]  13, 11, TileType.WATER  
             [13, 12]  13, 12, TileType.WATER  
             [13, 13]  13, 13, TileType.WATER  
             [13, 14]  13, 14, TileType.WATER  
             [13, 15]  13, 15, TileType.WATER  
             [13, 16]  13, 16, TileType.WATER  
             [13, 17]  13, 17, TileType.ROCK  
             [13, 18]  13, 18, TileType.GRASS  
             [13, 19]  13, 19, TileType.GRASS  
             [13, 20]  13, 20, TileType.GRASS  
             [13, 21]  13, 21, TileType.GRASS  
             [13, 22]  13, 22, TileType.GRASS  
             [13, 23]  13, 23, TileType.WATER  
             [13, 24]  13, 24, TileType.WATER  
             [13, 25]  13, 25, TileType.WATER  
             [13, 26]  13, 26, TileType.WATER  
             [13, 27]  13, 27, TileType.WATER  
             [13, 28]  13, 28, TileType.ROCK  
             [13, 29]  13, 29, TileType.ROCK  

            // X = 14
             [14, 0]  14, 0, TileType.GRASS  
             [14, 1]  14, 1, TileType.GRASS  
             [14, 2]  14, 2, TileType.GRASS  
             [14, 3]  14, 3, TileType.GRASS  
             [14, 4]  14, 4, TileType.GRASS  
             [14, 5]  14, 5, TileType.GRASS  
             [14, 6]  14, 6, TileType.GRASS  
             [14, 7]  14, 7, TileType.WATER  
             [14, 8]  14, 8, TileType.WATER  
             [14, 9]  14, 9, TileType.WATER  
             [14, 10]  14, 10, TileType.WATER  
             [14, 11]  14, 11, TileType.WATER  
             [14, 12]  14, 12, TileType.WATER  
             [14, 13]  14, 13, TileType.WATER  
             [14, 14]  14, 14, TileType.WATER  
             [14, 15]  14, 15, TileType.WATER  
             [14, 16]  14, 16, TileType.WATER  
             [14, 17]  14, 17, TileType.WATER  
             [14, 18]  14, 18, TileType.GRASS  
             [14, 19]  14, 19, TileType.GRASS  
             [14, 20]  14, 20, TileType.GRASS  
             [14, 21]  14, 21, TileType.GRASS  
             [14, 22]  14, 22, TileType.GRASS  
             [14, 23]  14, 23, TileType.GRASS  
             [14, 24]  14, 24, TileType.GRASS  
             [14, 25]  14, 25, TileType.GRASS  
             [14, 26]  14, 26, TileType.GRASS  
             [14, 27]  14, 27, TileType.ROCK  
             [14, 28]  14, 28, TileType.ROCK  
             [14, 29]  14, 29, TileType.ROCK  

            // X = 15
             [15, 0]  15, 0, TileType.ROCK  
             [15, 1]  15, 1, TileType.ROCK  
             [15, 2]  15, 2, TileType.GRASS  
             [15, 3]  15, 3, TileType.GRASS  
             [15, 4]  15, 4, TileType.GRASS  
             [15, 5]  15, 5, TileType.GRASS  
             [15, 6]  15, 6, TileType.GRASS  
             [15, 7]  15, 7, TileType.GRASS  
             [15, 8]  15, 8, TileType.WATER  
             [15, 9]  15, 9, TileType.WATER  
             [15, 10]  15, 10, TileType.WATER  
             [15, 11]  15, 11, TileType.WATER  
             [15, 12]  15, 12, TileType.WATER  
             [15, 13]  15, 13, TileType.WATER  
             [15, 14]  15, 14, TileType.WATER  
             [15, 15]  15, 15, TileType.WATER  
             [15, 16]  15, 16, TileType.WATER  
             [15, 17]  15, 17, TileType.WATER  
             [15, 18]  15, 18, TileType.GRASS  
             [15, 19]  15, 19, TileType.GRASS  
             [15, 20]  15, 20, TileType.GRASS  
             [15, 21]  15, 21, TileType.GRASS  
             [15, 22]  15, 22, TileType.GRASS  
             [15, 23]  15, 23, TileType.GRASS  
             [15, 24]  15, 24, TileType.GRASS  
             [15, 25]  15, 25, TileType.GRASS  
             [15, 26]  15, 26, TileType.GRASS  
             [15, 27]  15, 27, TileType.GRASS  
             [15, 28]  15, 28, TileType.ROCK  
             [15, 29]  15, 29, TileType.ROCK  

            // X = 16
             [16, 0]  16, 0, TileType.ROCK  
             [16, 1]  16, 1, TileType.ROCK  
             [16, 2]  16, 2, TileType.ROCK  
             [16, 3]  16, 3, TileType.ROCK  
             [16, 4]  16, 4, TileType.ROCK  
             [16, 5]  16, 5, TileType.GRASS  
             [16, 6]  16, 6, TileType.GRASS  
             [16, 7]  16, 7, TileType.GRASS  
             [16, 8]  16, 8, TileType.GRASS  
             [16, 9]  16, 9, TileType.GRASS  
             [16, 10]  16, 10, TileType.WATER  
             [16, 11]  16, 11, TileType.WATER  
             [16, 12]  16, 12, TileType.WATER  
             [16, 13]  16, 13, TileType.WATER  
             [16, 14]  16, 14, TileType.WATER  
             [16, 15]  16, 15, TileType.WATER  
             [16, 16]  16, 16, TileType.WATER  
             [16, 17]  16, 17, TileType.WATER  
             [16, 18]  16, 18, TileType.WATER  
             [16, 19]  16, 19, TileType.GRASS  
             [16, 20]  16, 20, TileType.GRASS  
             [16, 21]  16, 21, TileType.GRASS  
             [16, 22]  16, 22, TileType.GRASS  
             [16, 23]  16, 23, TileType.GRASS  
             [16, 24]  16, 24, TileType.GRASS  
             [16, 25]  16, 25, TileType.GRASS  
             [16, 26]  16, 26, TileType.GRASS  
             [16, 27]  16, 27, TileType.GRASS  
             [16, 28]  16, 28, TileType.ROCK  
             [16, 29]  16, 29, TileType.ROCK  

            // X = 17
             [17, 0]  17, 0, TileType.GRASS  
             [17, 1]  17, 1, TileType.ROCK  
             [17, 2]  17, 2, TileType.ROCK  
             [17, 3]  17, 3, TileType.ROCK  
             [17, 4]  17, 4, TileType.GRASS  
             [17, 5]  17, 5, TileType.GRASS  
             [17, 6]  17, 6, TileType.ROCK  
             [17, 7]  17, 7, TileType.GRASS  
             [17, 8]  17, 8, TileType.GRASS  
             [17, 9]  17, 9, TileType.GRASS  
             [17, 10]  17, 10, TileType.WATER  
             [17, 11]  17, 11, TileType.WATER  
             [17, 12]  17, 12, TileType.WATER  
             [17, 13]  17, 13, TileType.WATER  
             [17, 14]  17, 14, TileType.WATER  
             [17, 15]  17, 15, TileType.WATER  
             [17, 16]  17, 16, TileType.WATER  
             [17, 17]  17, 17, TileType.WATER  
             [17, 18]  17, 18, TileType.WATER  
             [17, 19]  17, 19, TileType.GRASS  
             [17, 20]  17, 20, TileType.GRASS  
             [17, 21]  17, 21, TileType.GRASS  
             [17, 22]  17, 22, TileType.GRASS  
             [17, 23]  17, 23, TileType.ROCK  
             [17, 24]  17, 24, TileType.ROCK  
             [17, 25]  17, 25, TileType.ROCK  
             [17, 26]  17, 26, TileType.GRASS  
             [17, 27]  17, 27, TileType.GRASS  
             [17, 28]  17, 28, TileType.GRASS  
             [17, 29]  17, 29, TileType.ROCK  

            // X = 18
             [18, 0]  18, 0, TileType.GRASS  
             [18, 1]  18, 1, TileType.GRASS  
             [18, 2]  18, 2, TileType.GRASS  
             [18, 3]  18, 3, TileType.GRASS  
             [18, 4]  18, 4, TileType.GRASS  
             [18, 5]  18, 5, TileType.ROCK  
             [18, 6]  18, 6, TileType.ROCK  
             [18, 7]  18, 7, TileType.GRASS  
             [18, 8]  18, 8, TileType.GRASS  
             [18, 9]  18, 9, TileType.GRASS  
             [18, 10]  18, 10, TileType.WATER  
             [18, 11]  18, 11, TileType.WATER  
             [18, 12]  18, 12, TileType.WATER  
             [18, 13]  18, 13, TileType.WATER  
             [18, 14]  18, 14, TileType.WATER  
             [18, 15]  18, 15, TileType.WATER  
             [18, 16]  18, 16, TileType.WATER  
             [18, 17]  18, 17, TileType.WATER  
             [18, 18]  18, 18, TileType.WATER  
             [18, 19]  18, 19, TileType.GRASS  
             [18, 20]  18, 20, TileType.GRASS  
             [18, 21]  18, 21, TileType.GRASS  
             [18, 22]  18, 22, TileType.ROCK  
             [18, 23]  18, 23, TileType.ROCK  
             [18, 24]  18, 24, TileType.GRASS  
             [18, 25]  18, 25, TileType.GRASS  
             [18, 26]  18, 26, TileType.GRASS  
             [18, 27]  18, 27, TileType.GRASS  
             [18, 28]  18, 28, TileType.GRASS  
             [18, 29]  18, 29, TileType.GRASS  

            // X = 19
             [19, 0]  19, 0, TileType.GRASS  
             [19, 1]  19, 1, TileType.GRASS  
             [19, 2]  19, 2, TileType.GRASS  
             [19, 3]  91, 3, TileType.GRASS  
             [19, 4]  19, 4, TileType.GRASS  
             [19, 5]  19, 5, TileType.ROCK  
             [19, 6]  19, 6, TileType.ROCK  
             [19, 7]  19, 7, TileType.GRASS  
             [19, 8]  19, 8, TileType.GRASS  
             [19, 9]  19, 9, TileType.WATER  
             [19, 10]  19, 10, TileType.WATER  
             [19, 11]  19, 11, TileType.WATER  
             [19, 12]  19, 12, TileType.WATER  
             [19, 13]  19, 13, TileType.WATER  
             [19, 14]  19, 14, TileType.WATER  
             [19, 15]  19, 15, TileType.WATER  
             [19, 16]  19, 16, TileType.WATER  
             [19, 17]  19, 17, TileType.WATER  
             [19, 18]  19, 18, TileType.WATER  
             [19, 19]  19, 19, TileType.GRASS  
             [19, 20]  19, 20, TileType.GRASS  
             [19, 21]  19, 21, TileType.GRASS  
             [19, 22]  19, 22, TileType.ROCK  
             [19, 23]  19, 23, TileType.ROCK  
             [19, 24]  19, 24, TileType.GRASS  
             [19, 25]  19, 25, TileType.GRASS  
             [19, 26]  19, 26, TileType.GRASS  
             [19, 27]  19, 27, TileType.ROCK  
             [19, 28]  19, 28, TileType.ROCK  
             [19, 29]  19, 29, TileType.GRASS  

            // X = 20
             [20, 0]  20, 0, TileType.GRASS  
             [20, 1]  20, 1, TileType.GRASS  
             [20, 2]  20, 2, TileType.GRASS  
             [20, 3]  20, 3, TileType.GRASS  
             [20, 4]  20, 4, TileType.GRASS  
             [20, 5]  20, 5, TileType.GRASS  
